date,stock_id,HoldingSharesLevel,people,percent,unit
2026-04-30,3548,"30,001-40,000",44,2.23,1513476
2026-04-30,3714,"40,001-50,000",314,1.97,14564524
2026-04-30,3714,"20,001-30,000",1053,3.66,27055918
2026-04-30,3714,"15,001-20,000",1216,3.04,22439764
2026-04-30,3594,"15,001-20,000",125,2.37,2280369
2026-04-30,3714,"5,001-10,000",6367,6.75,49858290
2026-04-30,3714,"1,000-5,000",57620,14.98,110606672
2026-04-30,3707,"600,001-800,000",5,0.86,3448972
2026-04-30,3712,差異數調整（說明4）,0,0.0,0
2026-04-30,3712,total,32548,100.0,246242146
2026-04-30,3712,"more than 1,000,001",15,51.16,125979623
2026-04-30,3712,"800,001-1,000,000",2,0.76,1871926
2026-04-30,3712,"600,001-800,000",1,0.3,753000
2026-04-30,3712,"400,001-600,000",6,1.15,2843981
2026-04-30,3712,"200,001-400,000",21,2.35,5788856
2026-04-30,3712,"100,001-200,000",76,4.29,10584830
2026-04-30,3714,"30,001-40,000",507,2.45,18097416
2026-04-30,3710,"200,001-400,000",81,7.99,22957490
2026-04-30,3712,"50,001-100,000",170,4.78,11790616
2026-04-30,3714,"10,001-15,000",1888,3.28,24246489
2026-04-30,3710,"40,001-50,000",238,3.88,11146953
2026-04-30,3576,"100,001-200,000",653,5.58,90917087
2026-04-30,3712,"15,001-20,000",414,3.1,7656140
2026-04-30,3712,"10,001-15,000",659,3.43,8467962
2026-04-30,3712,"5,001-10,000",2247,7.05,17360954
2026-04-30,3712,"1,000-5,000",14850,12.45,30671220
2026-04-30,3712,1-999,13479,1.32,3265595
2026-04-30,3576,1-999,85566,0.96,15781784
2026-04-30,3576,"1,000-5,000",102596,14.02,228335793
2026-04-30,3576,"5,001-10,000",20879,9.91,161419752
2026-04-30,3576,"10,001-15,000",6350,4.92,80096253
2026-04-30,3576,"15,001-20,000",4200,4.77,77677940
2026-04-30,3576,"20,001-30,000",3433,5.37,87516086
2026-04-30,3576,"30,001-40,000",1636,3.57,58268100
2026-04-30,3576,"40,001-50,000",988,2.82,46059464
2026-04-30,3576,"50,001-100,000",1611,7.11,115781100
