date,stock_id,type,value,origin_name
2024-06-30,3028,EPS,0.43,基本每股盈餘
2024-06-30,2345,EPS,4.62,基本每股盈餘
2024-06-30,3023,EPS,3.9,基本每股盈餘
2024-06-30,2348,EPS,3.26,基本每股盈餘
2024-06-30,3017,EPS,5.08,基本每股盈餘
2024-06-30,2351,EPS,1.2,基本每股盈餘
2024-06-30,3016,EPS,0.52,基本每股盈餘
2024-06-30,2353,EPS,0.47,基本每股盈餘
2024-06-30,3014,EPS,2.51,基本每股盈餘
2024-06-30,3013,EPS,0.97,基本每股盈餘
2024-06-30,2354,EPS,0.61,基本每股盈餘
2024-06-30,3008,EPS,33.7,基本每股盈餘
2024-06-30,2356,EPS,0.5,基本每股盈餘
2024-06-30,2923,EPS,-0.25,基本每股盈餘
2024-06-30,2357,EPS,15.9,基本每股盈餘
2024-06-30,2363,EPS,-0.16,基本每股盈餘
2024-06-30,5525,EPS,0.96,基本每股盈餘
2024-06-30,2534,EPS,-0.12,基本每股盈餘
2024-06-30,6263,EPS,2.34,基本每股盈餘
2024-06-30,5880,EPS,0.3,基本每股盈餘（元）
2024-06-30,1236,EPS,-0.3,基本每股盈餘
2024-06-30,6285,EPS,2.45,基本每股盈餘
2024-06-30,1234,EPS,0.62,基本每股盈餘
2024-06-30,1466,EPS,0.06,基本每股盈餘
2024-06-30,6409,EPS,14.7,基本每股盈餘
2024-06-30,5878,Revenue,198736000.0,營業收入
2024-06-30,1233,EPS,0.23,基本每股盈餘
2024-06-30,6414,EPS,3.7,基本每股盈餘
2024-06-30,6415,EPS,1.46,基本每股盈餘
2024-06-30,5876,EPS,0.31,基本每股盈餘（元）
2024-06-30,1477,EPS,3.55,基本每股盈餘
2024-06-30,1232,EPS,2.65,基本每股盈餘
2024-06-30,6442,EPS,3.27,基本每股盈餘
2024-06-30,1229,EPS,0.79,基本每股盈餘
2024-06-30,6446,EPS,2.09,基本每股盈餘
2024-06-30,5546,EPS,0.04,基本每股盈餘
2024-06-30,1227,EPS,0.32,基本每股盈餘
2024-06-30,6456,EPS,-0.2,基本每股盈餘
