date,futures_id,contract_date,open,max,min,close,spread,spread_per,volume,settlement_price,open_interest,trading_session
2026-05-13,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-13,MTX,202605W2/202605,125.0,125.0,-10.0,65.0,0.0,0.0,87,0.0,0,after_market
2026-05-13,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-13,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-13,MTX,202605W2,41181.0,41486.0,40996.0,41470.0,-90.0,-0.22,160,0.0,219,position
2026-05-13,MTX,202605,41213.0,41604.0,40980.0,41483.0,-221.0,-0.53,150426,41448.0,29051,position
2026-05-13,MTX,202605W4,41635.0,41635.0,41635.0,41635.0,-100.0,-0.24,1,41474.0,1,position
2026-05-13,MTX,202606,41310.0,41715.0,41111.0,41575.0,-251.0,-0.6,8662,41576.0,7539,position
2026-05-13,MTX,202607,41359.0,41712.0,41114.0,41600.0,-248.0,-0.59,281,41566.0,787,position
2026-05-13,MTX,202609,41534.0,41855.0,41350.0,41760.0,-234.0,-0.56,91,41741.0,1901,position
2026-05-13,MTX,202612,41973.0,42298.0,41800.0,42200.0,-255.0,-0.6,49,42164.0,650,position
2026-05-13,MTX,202703,42550.0,42735.0,42550.0,42735.0,-265.0,-0.62,4,42720.0,223,position
2026-05-13,MTX,202605/202606,118.0,118.0,112.0,116.0,0.0,0.0,40,0.0,0,position
2026-05-13,MTX,202605/202607,135.0,135.0,121.0,121.0,0.0,0.0,7,0.0,0,position
2026-05-13,MTX,202605/202609,280.0,280.0,280.0,280.0,0.0,0.0,1,0.0,0,position
2026-05-13,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-13,MTX,202605W2/202605,73.0,152.0,73.0,152.0,0.0,0.0,7,0.0,0,position
2026-05-13,MTX,202605W2/202606,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-13,MTX,202607/202609,100.0,100.0,100.0,100.0,0.0,0.0,1,0.0,0,position
2026-05-14,MTX,202605,41510.0,41838.0,41208.0,41755.0,307.0,0.74,147741,0.0,0,after_market
2026-05-14,MTX,202605W4,41578.0,41578.0,41463.0,41464.0,-10.0,-0.02,6,0.0,0,after_market
2026-05-14,MTX,202606,41605.0,41946.0,41333.0,41866.0,290.0,0.7,7872,0.0,0,after_market
2026-05-14,MTX,202607,41601.0,41950.0,41385.0,41872.0,306.0,0.74,341,0.0,0,after_market
2026-05-14,MTX,202609,41734.0,42115.0,41563.0,42000.0,259.0,0.62,58,0.0,0,after_market
2026-05-14,MTX,202612,42200.0,42525.0,41991.0,42459.0,295.0,0.7,54,0.0,0,after_market
2026-05-14,MTX,202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-14,MTX,202605/202605W4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-14,MTX,202605/202606,121.0,121.0,110.0,110.0,0.0,0.0,14,0.0,0,after_market
2026-05-14,MTX,202605/202607,126.0,126.0,126.0,126.0,0.0,0.0,8,0.0,0,after_market
2026-05-14,MTX,202605/202609,287.0,287.0,287.0,287.0,0.0,0.0,2,0.0,0,after_market
2026-05-14,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-14,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-14,MTX,202605,41930.0,42239.0,41496.0,41620.0,172.0,0.41,153316,41636.0,28116,position
2026-05-14,MTX,202605W4,42162.0,42256.0,41713.0,41713.0,239.0,0.58,29,41713.0,1,position
2026-05-14,MTX,202606,42032.0,42350.0,41624.0,41752.0,176.0,0.42,9915,41744.0,7847,position
2026-05-14,MTX,202607,42000.0,42345.0,41642.0,41817.0,251.0,0.6,454,41732.0,815,position
2026-05-14,MTX,202609,42202.0,42478.0,41800.0,41956.0,215.0,0.52,78,41901.0,1909,position
2026-05-14,MTX,202612,42641.0,42865.0,42247.0,42401.0,237.0,0.56,59,42331.0,653,position
2026-05-14,MTX,202703,43250.0,43350.0,42877.0,42877.0,157.0,0.37,14,42850.0,224,position
2026-05-14,MTX,202605/202605W4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-14,MTX,202605/202606,110.0,133.0,110.0,125.0,0.0,0.0,42,0.0,0,position
2026-05-14,MTX,202605/202607,123.0,123.0,123.0,123.0,0.0,0.0,1,0.0,0,position
2026-05-14,MTX,202605/202609,272.0,272.0,272.0,272.0,0.0,0.0,1,0.0,0,position
2026-05-14,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-14,MTX,202605/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-14,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-14,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-14,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-15,MTX,202605,41768.0,42377.0,41715.0,42362.0,726.0,1.74,138178,0.0,0,after_market
2026-05-15,MTX,202605W4,42364.0,42364.0,42364.0,42364.0,651.0,1.56,1,0.0,0,after_market
2026-05-15,MTX,202606,41864.0,42492.0,41808.0,42480.0,736.0,1.76,9922,0.0,0,after_market
2026-05-15,MTX,202607,41900.0,42468.0,41865.0,42439.0,707.0,1.69,474,0.0,0,after_market
2026-05-15,MTX,202609,42028.0,42625.0,42012.0,42625.0,724.0,1.73,105,0.0,0,after_market
2026-05-15,MTX,202612,42624.0,43045.0,42500.0,43045.0,714.0,1.69,38,0.0,0,after_market
2026-05-15,MTX,202703,43015.0,43546.0,43000.0,43500.0,650.0,1.52,13,0.0,0,after_market
2026-05-15,MTX,202605/202606,122.0,126.0,119.0,120.0,0.0,0.0,10,0.0,0,after_market
2026-05-15,MTX,202605/202607,104.0,104.0,104.0,104.0,0.0,0.0,1,0.0,0,after_market
2026-05-15,MTX,202605/202609,278.0,278.0,278.0,278.0,0.0,0.0,3,0.0,0,after_market
2026-05-15,MTX,202605/202612,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-15,MTX,202606/202607,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-15,MTX,202606/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-15,MTX,202607/202703,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,after_market
2026-05-15,MTX,202605,42291.0,42453.0,40977.0,41001.0,-635.0,-1.53,200006,40998.0,28165,position
2026-05-15,MTX,202605W4,41988.0,41988.0,41191.0,41191.0,-522.0,-1.25,4,41072.0,1,position
2026-05-15,MTX,202606,42412.0,42570.0,41160.0,41177.0,-567.0,-1.36,13935,41176.0,9118,position
2026-05-15,MTX,202607,42387.0,42550.0,41121.0,41130.0,-602.0,-1.44,674,41135.0,1015,position
2026-05-15,MTX,202609,42573.0,42688.0,41388.0,41388.0,-513.0,-1.22,193,41335.0,1890,position
2026-05-15,MTX,202612,43033.0,43106.0,41798.0,41798.0,-533.0,-1.26,82,41774.0,682,position
2026-05-15,MTX,202703,43555.0,43600.0,42447.0,42500.0,-350.0,-0.82,25,42266.0,233,position
2026-05-15,MTX,202605/202605W4,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,position
2026-05-15,MTX,202605/202606,124.0,192.0,124.0,182.0,0.0,0.0,130,0.0,0,position
